transaction_id,timestamp,sender_id,receiver_id,amount,transaction_type,merchant_id,device_id,ip_id,location,channel,is_fraud,fraud_type,scenario_id
TX_00001649,1704069890.9033902,ACC_000300,ACC_000269,104.4,p2m,MERCH_00021,DEV_000246,IP_000073,domestic,qr_code,0,none,scenario_b
TX_00002257,1704073475.3345914,ACC_000134,ACC_000151,66875.93,intermediary_transfer,None,DEV_000330,IP_000051,domestic,upi_app,1,basic_mule,scenario_d
TX_00002258,1704075163.4721122,ACC_000151,ACC_000469,64200.9,intermediary_transfer,None,DEV_000014,IP_000022,domestic,upi_app,1,basic_mule,scenario_d
TX_00002259,1704075769.513233,ACC_000469,ACC_000129,61525.86,intermediary_transfer,None,DEV_000014,IP_000022,domestic,upi_app,1,basic_mule,scenario_d
TX_00001457,1704075901.1207952,ACC_000354,ACC_000350,244.08,p2m,MERCH_00009,DEV_000160,IP_000074,domestic,qr_code,0,none,scenario_b
TX_00001845,1704076900.3742807,ACC_000033,ACC_000029,87.56,p2m,MERCH_00042,DEV_000157,IP_000197,domestic,qr_code,0,none,scenario_b
TX_00002260,1704077229.8147938,ACC_000129,ACC_000459,58850.82,atm_cashout,None,DEV_000014,IP_000022,domestic,upi_app,1,basic_mule,scenario_d
TX_00001300,1704081425.9227808,ACC_000452,ACC_000035,173.72,p2m,MERCH_00005,DEV_000115,IP_000141,domestic,qr_code,0,none,scenario_b
TX_00000749,1704084063.6724176,ACC_000095,ACC_000086,1084.47,p2p,None,DEV_000043,IP_000072,domestic,qr_code,0,none,scenario_a
TX_00001430,1704089182.400842,ACC_000259,ACC_000350,97.65,p2m,MERCH_00009,DEV_000034,IP_000016,domestic,qr_code,0,none,scenario_b
TX_00001107,1704090217.4609466,ACC_000244,ACC_000135,183.16,p2m,MERCH_00028,DEV_000317,IP_000211,domestic,qr_code,0,none,scenario_b
TX_00001719,1704090367.878458,ACC_000277,ACC_000111,286.36,p2m,MERCH_00011,DEV_000331,IP_000010,domestic,qr_code,0,none,scenario_b
TX_00000304,1704092148.2288377,ACC_000422,ACC_000263,99.71,p2p,None,DEV_000293,IP_000269,domestic,qr_code,0,none,scenario_a
TX_00001379,1704093309.0729668,ACC_000056,ACC_000377,152.17,p2m,MERCH_00037,DEV_000390,IP_000023,domestic,qr_code,0,none,scenario_b
TX_00001281,1704093563.133493,ACC_000144,ACC_000035,96.13,p2m,MERCH_00005,DEV_000020,IP_000207,domestic,qr_code,0,none,scenario_b
TX_00000415,1704100955.2271533,ACC_000062,ACC_000157,480.63,p2p,None,DEV_000357,IP_000158,domestic,upi_app,0,none,scenario_a
TX_00000253,1704102053.8867698,ACC_000396,ACC_000168,1632.95,p2p,None,DEV_000191,IP_000045,domestic,qr_code,0,none,scenario_a
TX_00001496,1704105969.9849808,ACC_000127,ACC_000336,159.46,p2m,MERCH_00001,DEV_000183,IP_000204,domestic,qr_code,0,none,scenario_b
TX_00000932,1704107109.866953,ACC_000014,ACC_000357,227.26,p2p,None,DEV_000385,IP_000113,domestic,upi_app,0,none,scenario_a
TX_00000279,1704107881.6433148,ACC_000355,ACC_000214,1251.77,p2p,None,DEV_000050,IP_000211,domestic,qr_code,0,none,scenario_a
TX_00000577,1704109073.2071018,ACC_000387,ACC_000498,226.88,p2p,None,DEV_000188,IP_000218,domestic,upi_app,0,none,scenario_a
TX_00000741,1704109937.298994,ACC_000351,ACC_000460,677.21,p2p,None,DEV_000205,IP_000223,domestic,qr_code,0,none,scenario_a
TX_00000689,1704111009.661347,ACC_000292,ACC_000287,284.14,p2p,None,DEV_000200,IP_000142,domestic,qr_code,0,none,scenario_a
TX_00000858,1704112773.7297719,ACC_000280,ACC_000411,1084.92,p2p,None,DEV_000017,IP_000289,domestic,web,0,none,scenario_a
TX_00001507,1704113447.3640857,ACC_000497,ACC_000336,41.99,p2m,MERCH_00001,DEV_000188,IP_000102,domestic,qr_code,0,none,scenario_b
TX_00001100,1704114513.7940092,ACC_000108,ACC_000431,257.57,p2p,None,DEV_000105,IP_000229,domestic,qr_code,0,none,scenario_a
TX_00001240,1704117404.619152,ACC_000335,ACC_000186,69.65,p2m,MERCH_00041,DEV_000316,IP_000024,domestic,qr_code,0,none,scenario_b
TX_00002807,1704119486.5408273,ACC_000420,ACC_000406,40000.0,p2p,None,DEV_000355,IP_000266,domestic,upi_app,1,camouflage_mule,scenario_h
TX_00002808,1704119786.5408273,ACC_000406,ACC_000266,160.87,p2m,MERCH_00022,DEV_000337,IP_000187,domestic,qr_code,1,camouflage_mule,scenario_h
TX_00002809,1704120086.5408273,ACC_000406,ACC_000266,299.72,p2m,MERCH_00022,DEV_000190,IP_000187,domestic,qr_code,1,camouflage_mule,scenario_h
TX_00001679,1704120133.1785014,ACC_000276,ACC_000111,221.69,p2m,MERCH_00011,DEV_000096,IP_000288,domestic,qr_code,0,none,scenario_b
TX_00000150,1704120947.700204,ACC_000066,ACC_000260,231.28,p2p,None,DEV_000084,IP_000179,domestic,qr_code,0,none,scenario_a
TX_00002810,1704121286.5408273,ACC_000406,ACC_000417,38500.0,intermediary_transfer,None,DEV_000033,IP_000169,domestic,upi_app,1,camouflage_mule,scenario_h
TX_00000281,1704122941.9814174,ACC_000022,ACC_000018,750.5,p2p,None,DEV_000075,IP_000269,domestic,web,0,none,scenario_a
TX_00001643,1704126204.6029766,ACC_000177,ACC_000269,163.62,p2m,MERCH_00021,DEV_000119,IP_000284,domestic,qr_code,0,none,scenario_b
TX_00000503,1704126569.982088,ACC_000167,ACC_000137,1732.47,p2p,None,DEV_000246,IP_000045,domestic,upi_app,0,none,scenario_a
TX_00001505,1704126997.3194444,ACC_000239,ACC_000336,151.95,p2m,MERCH_00001,DEV_000106,IP_000048,domestic,qr_code,0,none,scenario_b
TX_00002819,1704129401.238927,ACC_000101,ACC_000316,40000.0,p2p,None,DEV_000274,IP_000128,domestic,upi_app,1,camouflage_mule,scenario_h
TX_00002820,1704129701.238927,ACC_000316,ACC_000377,328.1,p2m,MERCH_00037,DEV_000108,IP_000138,domestic,qr_code,1,camouflage_mule,scenario_h
TX_00002821,1704130001.238927,ACC_000316,ACC_000377,183.29,p2m,MERCH_00037,DEV_000354,IP_000139,domestic,qr_code,1,camouflage_mule,scenario_h
TX_00001042,1704131027.505133,ACC_000208,ACC_000396,960.57,p2p,None,DEV_000322,IP_000243,domestic,upi_app,0,none,scenario_a
TX_00002822,1704131201.238927,ACC_000316,ACC_000109,38500.0,intermediary_transfer,None,DEV_000373,IP_000254,domestic,upi_app,1,camouflage_mule,scenario_h
TX_00000055,1704131750.5661097,ACC_000007,ACC_000135,1265.05,p2p,None,DEV_000016,IP_000065,domestic,qr_code,0,none,scenario_a
TX_00000771,1704134212.205788,ACC_000018,ACC_000084,3290.43,p2p,None,DEV_000157,IP_000218,domestic,web,0,none,scenario_a
TX_00000383,1704134838.2186093,ACC_000219,ACC_000093,981.87,p2p,None,DEV_000180,IP_000142,domestic,web,0,none,scenario_a
TX_00000263,1704135067.4103224,ACC_000145,ACC_000378,1507.07,p2p,None,DEV_000309,IP_000020,domestic,qr_code,0,none,scenario_a
TX_00001812,1704136516.5230486,ACC_000368,ACC_000483,179.01,p2m,MERCH_00036,DEV_000310,IP_000008,domestic,qr_code,0,none,scenario_b
TX_00000289,1704137163.4709828,ACC_000326,ACC_000034,950.82,p2p,None,DEV_000026,IP_000297,domestic,qr_code,0,none,scenario_a
TX_00000285,1704137435.322857,ACC_000280,ACC_000215,1583.94,p2p,None,DEV_000072,IP_000228,domestic,web,0,none,scenario_a
TX_00001599,1704138861.0890274,ACC_000314,ACC_000085,132.78,p2m,MERCH_00007,DEV_000376,IP_000153,domestic,qr_code,0,none,scenario_b
TX_00001299,1704139216.3765914,ACC_000203,ACC_000035,212.44,p2m,MERCH_00005,DEV_000373,IP_000287,domestic,qr_code,0,none,scenario_b
TX_00000426,1704140141.4500208,ACC_000319,ACC_000000,408.87,p2p,None,DEV_000008,IP_000023,domestic,qr_code,0,none,scenario_a
TX_00000641,1704140776.8058429,ACC_000085,ACC_000320,557.43,p2p,None,DEV_000347,IP_000073,domestic,upi_app,0,none,scenario_a
TX_00000553,1704142635.2246647,ACC_000382,ACC_000144,490.61,p2p,None,DEV_000108,IP_000004,domestic,web,0,none,scenario_a
TX_00000566,1704143500.5893922,ACC_000017,ACC_000101,514.81,p2p,None,DEV_000158,IP_000136,domestic,web,0,none,scenario_a
TX_00001128,1704146269.1587822,ACC_000175,ACC_000135,253.71,p2m,MERCH_00028,DEV_000327,IP_000279,domestic,qr_code,0,none,scenario_b
TX_00001634,1704153340.3578856,ACC_000272,ACC_000269,122.35,p2m,MERCH_00021,DEV_000037,IP_000015,domestic,qr_code,0,none,scenario_b
TX_00002823,1704153547.525686,ACC_000413,ACC_000103,40000.0,p2p,None,DEV_000349,IP_000159,domestic,upi_app,1,camouflage_mule,scenario_h
TX_00001607,1704153711.1766384,ACC_000290,ACC_000085,333.51,p2m,MERCH_00007,DEV_000320,IP_000133,domestic,qr_code,0,none,scenario_b
TX_00002824,1704153847.525686,ACC_000103,ACC_000032,122.89,p2m,MERCH_00045,DEV_000289,IP_000277,domestic,qr_code,1,camouflage_mule,scenario_h
TX_00002825,1704154147.525686,ACC_000103,ACC_000032,254.54,p2m,MERCH_00045,DEV_000122,IP_000125,domestic,qr_code,1,camouflage_mule,scenario_h
TX_00002826,1704155347.525686,ACC_000103,ACC_000394,38500.0,intermediary_transfer,None,DEV_000129,IP_000081,domestic,upi_app,1,camouflage_mule,scenario_h
TX_00001596,1704158656.1264906,ACC_000448,ACC_000085,138.31,p2m,MERCH_00007,DEV_000124,IP_000212,domestic,qr_code,0,none,scenario_b
TX_00001716,1704158893.028309,ACC_000375,ACC_000111,286.11,p2m,MERCH_00011,DEV_000337,IP_000271,domestic,qr_code,0,none,scenario_b
TX_00001390,1704162210.784276,ACC_000355,ACC_000377,301.76,p2m,MERCH_00037,DEV_000280,IP_000091,domestic,qr_code,0,none,scenario_b
TX_00001459,1704164440.0608618,ACC_000489,ACC_000350,132.16,p2m,MERCH_00009,DEV_000018,IP_000187,domestic,qr_code,0,none,scenario_b
TX_00000491,1704164566.2611532,ACC_000026,ACC_000290,214.69,p2p,None,DEV_000396,IP_000141,domestic,qr_code,0,none,scenario_a
TX_00001357,1704168795.749947,ACC_000120,ACC_000099,112.33,p2m,MERCH_00044,DEV_000299,IP_000006,domestic,qr_code,0,none,scenario_b
TX_00001367,1704172828.7787344,ACC_000321,ACC_000377,277.39,p2m,MERCH_00037,DEV_000213,IP_000029,domestic,qr_code,0,none,scenario_b
TX_00001672,1704173461.035327,ACC_000269,ACC_000454,4742.18,merchant_settlement,MERCH_00021,DEV_000288,IP_000263,domestic,web,0,none,scenario_b
TX_00001624,1704176319.3064175,ACC_000085,ACC_000216,2671.18,merchant_settlement,MERCH_00007,DEV_000055,IP_000093,domestic,web,0,none,scenario_b
TX_00000527,1704178443.6072578,ACC_000448,ACC_000144,1743.42,p2p,None,DEV_000358,IP_000280,domestic,upi_app,0,none,scenario_a
TX_00001765,1704181847.8232229,ACC_000094,ACC_000425,189.55,p2m,MERCH_00017,DEV_000136,IP_000120,domestic,qr_code,0,none,scenario_b
TX_00001117,1704182302.9534032,ACC_000280,ACC_000135,50.94,p2m,MERCH_00028,DEV_000363,IP_000033,domestic,qr_code,0,none,scenario_b
TX_00001331,1704183719.4004903,ACC_000060,ACC_000099,217.31,p2m,MERCH_00044,DEV_000218,IP_000057,domestic,qr_code,0,none,scenario_b
TX_00001184,1704183853.964136,ACC_000310,ACC_000009,319.43,p2m,MERCH_00019,DEV_000268,IP_000256,domestic,qr_code,0,none,scenario_b
TX_00001061,1704184736.5838468,ACC_000171,ACC_000410,837.47,p2p,None,DEV_000133,IP_000155,domestic,web,0,none,scenario_a
TX_00000324,1704186366.619925,ACC_000175,ACC_000114,1647.24,p2p,None,DEV_000115,IP_000200,domestic,upi_app,0,none,scenario_a
TX_00001428,1704187197.0588188,ACC_000340,ACC_000350,780.91,p2m,MERCH_00009,DEV_000358,IP_000002,domestic,qr_code,0,none,scenario_b
TX_00000241,1704187236.5586562,ACC_000357,ACC_000485,942.34,p2p,None,DEV_000245,IP_000281,domestic,web,0,none,scenario_a
TX_00001340,1704187515.652451,ACC_000224,ACC_000099,144.69,p2m,MERCH_00044,DEV_000338,IP_000272,domestic,qr_code,0,none,scenario_b
TX_00001878,1704188902.817498,ACC_000029,ACC_000296,6976.82,merchant_settlement,MERCH_00042,DEV_000300,IP_000015,domestic,web,0,none,scenario_b
TX_00000620,1704189067.5660474,ACC_000425,ACC_000033,884.95,p2p,None,DEV_000224,IP_000265,domestic,qr_code,0,none,scenario_a
TX_00000862,1704191630.0284114,ACC_000405,ACC_000059,672.84,p2p,None,DEV_000158,IP_000215,domestic,qr_code,0,none,scenario_a
TX_00001292,1704191856.642177,ACC_000219,ACC_000035,225.28,p2m,MERCH_00005,DEV_000327,IP_000212,domestic,qr_code,0,none,scenario_b
TX_00000007,1704192480.947679,ACC_000398,ACC_000393,1102.16,p2p,None,DEV_000055,IP_000073,domestic,upi_app,0,none,scenario_a
TX_00000196,1704192533.5288024,ACC_000307,ACC_000148,912.7,p2p,None,DEV_000333,IP_000000,domestic,qr_code,0,none,scenario_a
TX_00001333,1704193110.904455,ACC_000029,ACC_000099,222.22,p2m,MERCH_00044,DEV_000216,IP_000182,domestic,qr_code,0,none,scenario_b
TX_00001094,1704193213.1888459,ACC_000388,ACC_000266,1160.59,p2p,None,DEV_000209,IP_000035,domestic,web,0,none,scenario_a
TX_00000557,1704194705.8604593,ACC_000366,ACC_000042,853.31,p2p,None,DEV_000289,IP_000290,domestic,qr_code,0,none,scenario_a
TX_00000740,1704195750.0272684,ACC_000078,ACC_000254,177.82,p2p,None,DEV_000154,IP_000228,domestic,qr_code,0,none,scenario_a
TX_00001058,1704198265.5439212,ACC_000268,ACC_000380,991.21,p2p,None,DEV_000013,IP_000223,domestic,web,0,none,scenario_a
TX_00001199,1704200377.6056483,ACC_000233,ACC_000009,259.82,p2m,MERCH_00019,DEV_000208,IP_000262,domestic,qr_code,0,none,scenario_b
TX_00001525,1704201328.7113817,ACC_000445,ACC_000400,306.2,p2m,MERCH_00003,DEV_000358,IP_000119,domestic,qr_code,0,none,scenario_b
TX_00001699,1704201655.2479537,ACC_000239,ACC_000111,238.41,p2m,MERCH_00011,DEV_000017,IP_000209,domestic,qr_code,0,none,scenario_b
TX_00001269,1704202482.1888201,ACC_000198,ACC_000035,70.24,p2m,MERCH_00005,DEV_000167,IP_000026,domestic,qr_code,0,none,scenario_b
TX_00000424,1704202662.4462857,ACC_000495,ACC_000164,759.37,p2p,None,DEV_000016,IP_000264,domestic,web,0,none,scenario_a
TX_00000705,1704203284.0821195,ACC_000381,ACC_000165,1244.53,p2p,None,DEV_000398,IP_000096,domestic,web,0,none,scenario_a
TX_00000143,1704204849.6348145,ACC_000425,ACC_000387,574.02,p2p,None,DEV_000344,IP_000080,domestic,qr_code,0,none,scenario_a
TX_00000177,1704205376.660221,ACC_000043,ACC_000017,962.73,p2p,None,DEV_000094,IP_000168,domestic,upi_app,0,none,scenario_a
TX_00000941,1704205599.362036,ACC_000264,ACC_000488,1302.14,p2p,None,DEV_000174,IP_000165,domestic,qr_code,0,none,scenario_a
TX_00001807,1704206956.6367965,ACC_000403,ACC_000483,234.73,p2m,MERCH_00036,DEV_000015,IP_000114,domestic,qr_code,0,none,scenario_b
TX_00000968,1704207935.442776,ACC_000016,ACC_000495,604.5,p2p,None,DEV_000019,IP_000233,domestic,upi_app,0,none,scenario_a
TX_00001738,1704208256.7144158,ACC_000030,ACC_000425,36.11,p2m,MERCH_00017,DEV_000390,IP_000247,domestic,qr_code,0,none,scenario_b
TX_00002795,1704208504.9136052,ACC_000432,ACC_000106,40000.0,p2p,None,DEV_000258,IP_000117,domestic,upi_app,1,camouflage_mule,scenario_h
